Authors,Total number of co authors
"Wei Li ",1226
"Wei Zhang ",1206
"Wei Wang ",1179
"Lei Zhang ",1093
"Yang Liu ",1084
"Lei Wang ",1081
"Yu Zhang ",1067
"Wen Gao 0001 ",1032
"Hai Jin 0001 ",1008
"Xin Wang ",1003
"H. Vincent Poor ",951
"Jing Wang ",940
"Li Zhang ",915
"Yang Li ",900
"Philip S. Yu ",896
"Wei Chen ",893
"Jun Wang ",892
"Yan Zhang ",879
"Yan Wang ",855
"Jing Zhang ",853
"Xin Li ",846
"Yan Li ",846
"Jian Wang ",839
"Jing Li ",836
"Yi Zhang ",834
"Licheng Jiao ",821
"Lajos Hanzo ",814
"Hui Li ",808
"Victor C. M. Leung ",807
"Wei Liu ",807
"Yang Yang ",800
"Ying Wang ",796
"Zhu Han ",793
"Nassir Navab ",786
"Dacheng Tao ",781
"Li Li ",777
"Yong Wang ",766
"Jun Zhang ",764
"Xi Chen ",757
"Luca Benini ",753
"Jie Li ",741
"Ying Li ",734
"Peng Wang ",729
"Jiawei Han 0001 ",726
"Thomas S. Huang ",719
"Hao Wang ",715
"Leonard Barolli ",703
"Li Wang ",690
"Mohsen Guizani ",689
"Mohamed-Slim Alouini ",686
"Chao Wang ",685
"Dinggang Shen ",685
"Jun Li ",681
"Bin Li ",678
"Yong Zhang ",675
"Nadeem Javaid ",672
"Chin-Chen Chang 0001 ",668
"Ying Zhang ",668
"Yi Wang ",668
"Tao Wang ",666
"Hui Zhang ",664
"Jie Zhang ",664
"Luc Van Gool ",653
"Witold Pedrycz ",651
"Jing Liu ",649
"Tao Zhang ",646
"Hui Wang ",644
"Yang Zhang ",640
"Xin Zhang ",638
"Yu Wang ",636
"Elisa Bertino ",635
"Bo Li ",628
"Qi Wang ",619
"Xuelong Li ",616
"Ming Li ",615
"Fan Yang ",615
"Wei Wu ",614
"Shuicheng Yan ",611
"Rui Zhang ",611
"Hao Zhang ",610
"Xin Liu ",609
"Joel J. P. C. Rodrigues ",605
"Yang Wang ",602
"Jiannong Cao 0001 ",600
"Toshio Fukuda ",597
"Feng Wang ",594
"Yu Liu ",594
"Mario Gerla ",591
"Athanasios V. Vasilakos ",583
"Xuemin Shen ",583
"Xin Chen ",583
"Li Chen ",579
"Tao Li ",569
"Ajith Abraham ",565
"Fan Zhang ",557
"Peng Zhang ",557
"Wei Xu ",556
"Kim-Kwang Raymond Choo ",555
"Chao Zhang ",553
"Rui Wang ",547
